表名,估算行数
"TBLEQPREDICLESETBASIS","0"
"TBLEQPREDICLESETLAYER","0"
"TBLEQPRETICLESETBASIS","0"
"TBLEQPRETICLESETLAYER","0"
"TBLEQPSTATEBASIS","8"
"TBLEQPSTATECONTROL","7"
"TBLEQPSTOCKERBASIS","0"
"TBLEQPTOOLBASIS","0"
"TBLEQPVENDOR","0"
"TBLEQPVENDORCONTACTOR","0"
"TBLERPDOCUMENTTYPE","0"
"tblERPIntegration","0"
"TBLERPTRANSACTIONLOG","69"
"TBLERPTRANSACTIONXMLLOG","69"
"tblERPTransactionXMLLog_Basis","5"
"TBLERPWORKREPORT_T100","0"
"TBLERPWORKREPORT_TP","0"
"TBLERPWORKREPORT_WF","0"
"TBLERPWORKREPORTDETAIL_T100","0"
"TBLERPWORKREPORTDETAIL_TP","0"
"TBLERPWORKREPORTDETAIL_WF","0"
"TBLESBTRANSACTIONLOG","0"
"TBLESBTRANSACTIONLOGCONTENT","0"
"TBLESBTRANSACTIONLOGDETAIL","0"
"TBLESIEQPConfig","73"
"TBLESIEQPCONFIGDETAIL","0"
"TBLESIEQPData","0"
"TBLESIEQPParam","1312"
"TBLESIEQPParamCheckLog","0"
"TBLESIEQPParamPRD","0"
"TBLESIEQPSINGLECOUNT","0"
"TBLESIItemBasis","318"
"TBLESIItemBasis_BAK","0"
"TBLESIItemBasisLog","0"
"TBLESIItemLog","3801958"
"TBLESIItemLogLot","62548"
"TBLESOPBASIS","0"
"TBLESOPDETAIL","0"
"tblFASCont_Partialin","0"
"tblFASCont_PartialOut","0"
"tblHPIQCArea","0"
"tblHPIQCAreaCap","0"
"tblHPIQCAreaCapUser","0"
"tblHPIQCAreaUser","0"
"tblHPIQCSchedPlan","0"
"tblHPIQCSchedPlanQCItem","0"
"tblHPIQCSchedPublish","0"
"tblHPITaskOrder","0"
"TBLHPITASKORDERBAK","0"
"TBLHPITASKORDERIMPORT","0"
"TBLIEWALERTBASIS","0"
"TBLIEWALERTCONDITION","0"
"TBLIEWALERTEVENTBASIS","0"
"TBLIEWALERTEVENTLOG","0"
"TBLIEWALERTRECIPIENTS","0"
"TBLIEWAUTORUNLOG","0"
"TBLIEWDEFAULTEVENTBASIS","59"
"tblINJEQPBasis","0"
"tblINJEQPRecipe","0"
"TBLINJEXCEPTIONLOG","0"
"tblINJLotRecipe","0"
"tblINJPhaseBasis","10"
"TBLINJRECIPBASIS","0"
"tblINJRecipeBasis","0"
"tblINJRecipeCheckLog","0"
"tblINJRecipeCheckLogDetail","0"
"tblINJRecipeDetail","0"
"tblINJRecipeQCLog","0"
"tblINJRecipeQCLogDetail","0"
"TBLINVENGINEERGROUPBASIS","0"
"TBLINVENTORYPROPERTY","0"
"TBLINVFGDINBASIS","0"
"TBLINVFGDINCOMPONENT","0"
"TBLINVFGDINDETAIL","0"
"tblINVFGDInDetail_PCSNo","0"
"TBLINVFGDINDETAIL_WAITOP","0"
"TBLINVFGDINSUBDETAIL","0"
